* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Documents and Settings\Mag\Bureau\TEST2.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = 

[Results]
Well	Sample Name	Target Name	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт Mean	ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	HIGHSD	OUTLIERRG	MTP
C4	C421091/4	BEAF	2,3444	1,305	4,2117	25,7923	25,2559	0,486	3,8029	0,3044	-1,2292	true	1504,2144	true	3	19	76,0995				N	N	N
C5	C421091/4	BEAF	2,3444	1,305	4,2117	25,1308	25,2559	0,486	3,8029	0,3044	-1,2292	true	1504,2144	true	3	20	76,0997				N	N	N
C6	C421091/4	BEAF	2,3444	1,305	4,2117	24,8447	25,2559	0,486	3,8029	0,3044	-1,2292	true	1504,2144	true	3	20	76,0997				N	N	N
D1	B421091/4	ACTIN				21,3886	21,4454	0,2283				true	1915,4797	true	3	14	82,6826				N	N	N
D2	B421091/4	ACTIN				21,2508	21,4454	0,2283				true	1915,4797	true	3	15	82,6826	68,6242			N	N	Y
D3	B421091/4	ACTIN				21,6967	21,4454	0,2283				true	1915,4797	true	3	16	82,8293				N	N	N
D4	B421091/4	BEAF	0,1312	0,0782	0,2201	29,8741	29,4075	0,4057	7,9621	0,2688	2,93	true	1504,2144	true	3	22	75,9499				N	N	N
D5	B421091/4	BEAF	0,1312	0,0782	0,2201	29,2095	29,4075	0,4057	7,9621	0,2688	2,93	true	1504,2144	true	3	23	75,9502				N	N	N
D6	B421091/4	BEAF	0,1312	0,0782	0,2201	29,1388	29,4075	0,4057	7,9621	0,2688	2,93	true	1504,2144	true	3	24	75,9502				N	N	N
E1	C40801	ACTIN				15,1087	14,9864	0,1086				true	1915,4797	true	3	10	82,6826				N	N	N
E2	C40801	ACTIN				14,9013	14,9864	0,1086				true	1915,4797	true	3	10	82,6826				N	N	N
E3	C40801	ACTIN				14,9491	14,9864	0,1086				true	1915,4797	true	3	10	82,8293				N	N	N
E4	C40801	BEAF	1	0,6079	1,6449	20,4959	20,0185	0,4345	5,0321	0,2586	0	true	1504,2144	true	3	15	76,249				N	N	N
E5	C40801	BEAF	1	0,6079	1,6449	19,646	20,0185	0,4345	5,0321	0,2586	0	true	1504,2144	true	3	14	76,0997				N	N	N
E6	C40801	BEAF	1	0,6079	1,6449	19,9135	20,0185	0,4345	5,0321	0,2586	0	true	1504,2144	true	3	15	76,0997				N	N	N
F1	B40801	ACTIN				14,8732	14,8406	0,1065				true	1915,4797	true	3	9	82,6826				N	N	N
F2	B40801	ACTIN				14,7216	14,8406	0,1065				true	1915,4797	true	3	9	82,6826				N	N	N
F3	B40801	ACTIN				14,927	14,8406	0,1065				true	1915,4797	true	3	10	82,8293				N	N	N
F4	B40801	BEAF	0,0996	0,0685	0,145	23,5699	23,2001	0,3203	8,3595	0,1949	3,3273	true	1504,2144	true	3	17	76,249				N	Y	N
F5	B40801	BEAF	0,0996	0,0685	0,145	23,0153	23,2001	0,3203	8,3595	0,1949	3,3273	true	1504,2144	true	3	18	76,0997				N	N	N
F6	B40801	BEAF	0,0996	0,0685	0,145	23,0151	23,2001	0,3203	8,3595	0,1949	3,3273	true	1504,2144	true	3	17	76,0997				N	N	N
G1	C80801	ACTIN				15,0829	15,1461	0,2358				true	1915,4797	true	3	9	82,8322				N	N	N
G2	C80801	ACTIN				14,9483	15,1461	0,2358				true	1915,4797	true	3	9	82,8322				N	N	N
G3	C80801	ACTIN				15,407	15,1461	0,2358				true	1915,4797	true	3	11	82,8293				N	N	N
G4	C80801	BEAF	0,7061	0,4267	1,1682	21,1046	20,6803	0,387	5,5343	0,2616	0,5021	true	1504,2144	true	3	16	76,249				N	N	N
G5	C80801	BEAF	0,7061	0,4267	1,1682	20,5898	20,6803	0,387	5,5343	0,2616	0,5021	true	1504,2144	true	3	16	76,0997				N	N	N
G6	C80801	BEAF	0,7061	0,4267	1,1682	20,3466	20,6803	0,387	5,5343	0,2616	0,5021	true	1504,2144	true	3	15	76,0997				N	N	N
H1	B80801	ACTIN				15,2204	15,4864	0,3799				true	1915,4797	true	3	7	82,8322				N	N	N
H2	B80801	ACTIN				15,3173	15,4864	0,3799				true	1915,4797	true	3	10	82,8322				N	N	N
H3	B80801	ACTIN				15,9215	15,4864	0,3799				true	1915,4797	true	3	10	82,8293				N	N	N
H4	B80801	BEAF	0,0637	0,014	0,2898	24,1676	24,4907	1,3093	9,0043	0,7871	3,9722	true	1504,2144	true	3	18	76,249				Y	N	N
H5	B80801	BEAF	0,0637	0,014	0,2898	23,3732	24,4907	1,3093	9,0043	0,7871	3,9722	true	1504,2144	true	3	17	76,0997				Y	N	N
H6	B80801	BEAF	0,0637	0,014	0,2898	25,9314	24,4907	1,3093	9,0043	0,7871	3,9722	true	1504,2144	true	3	22	75,8007				Y	N	N

Analysis Type = Singleplex
Endogenous Control = ACTIN
RQ Min/Max Confidence Level = 95.0
Reference Sample = C40801

