D7,Pre-miR-125b 3,MEMO1,UNKNOWN,FAM,NFQ-MGB,1.0559,0.9803,1.1374,28.8679,28.8899,0.0312,,1.2461,0.0249,,,-0.0785,FALSE,0.1,TRUE,3,25,1
D8,Pre-miR-125b 4,MEMO1,UNKNOWN,FAM,NFQ-MGB,0.8036,0.6882,0.9384,29.8808,29.848,0.0463,,1.64,0.052,,,0.3154,FALSE,0.1,TRUE,3,26,1
E1,Scramble miR 1,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,28.2127,28.1958,0.0238,,,,,,,FALSE,0.1,TRUE,3,23,1
E2,Scramble miR 2,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,27.6175,27.6008,0.0237,,,,,,,FALSE,0.1,TRUE,3,22,1
E3,Scramble miR 3,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,28.1137,28.1201,0.0091,,,,,,,FALSE,0.1,TRUE,3,23,1
E4,Scramble miR4,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,26.9006,26.8953,0.0075,,,,,,,FALSE,0.1,TRUE,3,22,1
E5,Pre-miR-125b 1,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,26.8007,26.8401,0.0556,,,,,,,FALSE,0.1,TRUE,3,22,1
E6,Pre-miR-125b 2,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,27.2401,27.2352,0.007,,,,,,,FALSE,0.1,TRUE,3,22,1
E7,Pre-miR-125b 3,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,27.6322,27.6438,0.0164,,,,,,,FALSE,0.1,TRUE,3,21,1
E8,Pre-miR-125b 4,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,28.1676,28.208,0.0571,,,,,,,FALSE,0.1,TRUE,3,23,1
F1,Scramble miR 1,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,28.179,28.1958,0.0238,,,,,,,FALSE,0.1,TRUE,3,22,1
F2,Scramble miR 2,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,27.5841,27.6008,0.0237,,,,,,,FALSE,0.1,TRUE,3,22,1
F3,Scramble miR 3,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,28.1266,28.1201,0.0091,,,,,,,FALSE,0.1,TRUE,3,24,1
F4,Scramble miR4,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,26.89,26.8953,0.0075,,,,,,,FALSE,0.1,TRUE,3,22,1
F5,Pre-miR-125b 1,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,26.8794,26.8401,0.0556,,,,,,,FALSE,0.1,TRUE,3,23,1
F6,Pre-miR-125b 2,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,27.2302,27.2352,0.007,,,,,,,FALSE,0.1,TRUE,3,22,1
F7,Pre-miR-125b 3,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,27.6554,27.6438,0.0164,,,,,,,FALSE,0.1,TRUE,3,23,1
F8,Pre-miR-125b 4,GAPDH,UNKNOWN,FAM,NFQ-MGB,,,,28.2483,28.208,0.0571,,,,,,,FALSE,0.1,TRUE,3,23,1

Analysis Type = Singleplex,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control = GAPDH,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level = 95.0,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample = Scramble miR 1,,,,,,,,,,,,,,,,,,,,,,,



